hr, targetSPN(difficulty), avgDelta (real difficulty), hrthres
127,0.9557493,1.285275,107.6
127,0.9558571,1.285275,107.6
127,0.9559649,1.285275,107.6
127,0.9560726,1.285275,107.6
127,0.9561804,1.285275,107.6
127,0.9562882,1.285275,107.6
127,0.9563959,1.285275,107.6
127,0.9565037,1.285275,107.6
127,0.9566115,1.285275,107.6
127,0.9567192,1.285275,107.6
127,0.956827,1.285275,107.6
127,0.9569348,1.285275,107.6
127,0.9570425,1.285275,107.6
127,0.9571503,1.285275,107.6
127,0.957258,1.285275,107.6
127,0.9573658,1.285275,107.6
127,0.9574736,1.285275,107.6
127,0.9575813,1.285275,107.6
127,0.9576891,1.285275,107.6
127,0.9577969,1.285275,107.6
127,0.9579046,1.285275,107.6
127,0.9580124,1.285275,107.6
127,0.9581202,1.285275,107.6
127,0.9582279,1.285275,107.6
127,0.9583357,1.285275,107.6
127,0.9584435,1.285275,107.6
127,0.9585512,1.285275,107.6
127,0.958659,1.285275,107.6
127,0.9587668,1.285275,107.6
127,0.9588745,1.285275,107.6
127,0.9589823,1.285275,107.6
127,0.9590901,1.285275,107.6
127,0.9591978,1.285275,107.6
127,0.9593056,1.285275,107.6
127,0.9594133,1.285275,107.6
127,0.9595211,1.285275,107.6
127,0.9596289,1.285275,107.6
127,0.9597366,1.285275,107.6
127,0.9598444,1.285275,107.6
127,0.9599522,1.285275,107.6
127,0.9600599,1.285275,107.6
127,0.9601677,1.285275,107.6
134,0.9601692,1.285275,107.6
134,0.9601707,1.285275,107.6
134,0.9601722,1.285275,107.6
134,0.9601737,1.285275,107.6
134,0.9601752,1.285275,107.6
134,0.9601766,1.285275,107.6
134,0.9601781,1.285275,107.6
134,0.9601796,1.285275,107.6
134,0.9601811,1.285275,107.6
134,0.9601826,1.285275,107.6
134,0.9601841,1.285275,107.6
134,0.9601856,1.285275,107.6
134,0.9601871,1.285275,107.6
134,0.9601886,1.285275,107.6
134,0.9601901,1.285275,107.6
134,0.9601915,1.285275,107.6
134,0.960193,1.285275,107.6
134,0.9601945,1.285275,107.6
134,0.960196,1.285275,107.6
134,0.9603427,1.285275,107.6
134,0.9604894,1.285275,107.6
134,0.9606361,1.285275,107.6
134,0.9607828,1.285275,107.6
134,0.9609295,1.285275,107.6
134,0.9610761,1.285275,107.6
134,0.9612228,1.285275,107.6
134,0.9613695,1.285275,107.6
134,0.9615162,1.285275,107.6
134,0.9616629,1.285275,107.6
134,0.9618096,1.285275,107.6
134,0.9619563,1.285275,107.6
134,0.9621029,1.285275,107.6
134,0.9622496,1.285275,107.6
134,0.9623963,1.285275,107.6
134,0.962543,1.285275,107.6
134,0.9626897,1.285275,107.6
134,0.9628364,1.285275,107.6
134,0.9629831,1.285275,107.6
134,0.9631298,1.285275,107.6
134,0.9632764,1.285275,107.6
134,0.9634231,1.285275,107.6
134,0.9635698,1.285275,107.6
134,0.9637165,1.285275,107.6
134,0.9638632,1.285275,107.6
134,0.9640099,1.285275,107.6
134,0.9641566,1.285275,107.6
134,0.9643033,1.285275,107.6
134,0.9644499,1.285275,107.6
134,0.9645966,1.285275,107.6
134,0.9647433,1.285275,107.6
134,0.96489,1.285275,107.6
134,0.9650367,1.285275,107.6
134,0.9651834,1.285275,107.6
134,0.9653301,1.285275,107.6
134,0.9654768,1.285275,107.6
134,0.9656234,1.285275,107.6
134,0.9657701,1.285275,107.6
134,0.9659168,1.285275,107.6
134,0.9660635,1.285275,107.6
134,0.9662102,1.285275,107.6
134,0.9663569,1.285275,107.6
134,0.9665036,1.285275,107.6
134,0.9666502,1.285275,107.6
134,0.9667969,1.285275,107.6
134,0.9669436,1.285275,107.6
134,0.9670903,1.285275,107.6
134,0.967237,1.285275,107.6
134,0.9673837,1.285275,107.6
134,0.9675304,1.285275,107.6
134,0.9676771,1.285275,107.6
134,0.9678237,1.285275,107.6
134,0.9679704,1.285275,107.6
134,0.9681171,1.285275,107.6
134,0.9682638,1.285275,107.6
134,0.9684105,1.285275,107.6
134,0.9685572,1.285275,107.6
134,0.9687039,1.285275,107.6
134,0.9688506,1.285275,107.6
134,0.9689972,1.285275,107.6
134,0.9691439,1.285275,107.6
134,0.9692906,1.285275,107.6
134,0.9694373,1.285275,107.6
134,0.969584,1.285275,107.6
134,0.9697307,1.285275,107.6
134,0.9698774,1.285275,107.6
134,0.970024,1.285275,107.6
134,0.9701707,1.285275,107.6
134,0.9703174,1.285275,107.6
134,0.9704641,1.285275,107.6
134,0.9706108,1.285275,107.6
134,0.9707575,1.285275,107.6
134,0.9709042,1.285275,107.6
134,0.9710509,1.285275,107.6
134,0.9711975,1.285275,107.6
134,0.9713442,1.285275,107.6
134,0.9714909,1.285275,107.6
